Question,Answer,Class
"Is a ""Confirm Email"" input good practice when user changes email address?","I agree with you in that it is quite an annoyance to me (I also copy and paste my address into the second input). That being said, for less savvy users, it is probably a good idea. Watching my mother type is affirmation that many users do not look at the screen when they type (when she's using her laptop she resembles Linus from Peanuts when he's playing the piano).  If it's important for you to have the user's correct email address then I would say having a confirmation input is a very good idea (one of these days I'll probably type my email address wrong in the first box and paste it wrong into the second box and then feel like a complete idiot).",html
How to wait for thread complete before continuing?,"If I'm reading this properly, you're starting work items on bunch of threads but you're concerned that the threads are completing out of order, and, would prefer to wait until each thread completes in the order they were started ?  If this is the case then I'm not sure why you're creating a thread per work item. Maybe you could expand? If you did need to wait for a thread to complete the you could just do: t.Join(); ",c#
Some kind of task manager for JavaScript in Firefox 3?,"It's probably the awesome firefox3 fsync ""bug"", which is a giant pile of fail. In summary Firefox3 saves its bookmarks and history in an SQLite database Every time you load a page it writes to this database several times SQLite cares deeply that you don't lose your bookmarks, so each time it writes, instructs the kernel to flush it's database file to disk and ensure that it's fully written Many variants of linux, when told to flush like that, flush EVERY FILE. This may take up to a minute or more if you have background tasks doing any kind of disk intensive stuff. The kernel makes firefox wait while this flush happens, which locks up the UI. ",javascript
How do you open a file in C++?,"There are three ways to do this, depending on your needs. You could use the old-school C way and call fopen/fread/fclose, or you could use the C++ fstream facilities (ifstream/ofstream), or if you're using MFC, use the CFile class, which provides functions to accomplish actual file operations. All of these are suitable for both text and binary, though none have a specific readline functionality. What you'd most likely do instead in that case is use the fstream classes (fstream.h) and use the stream operators (&lt;&lt; and >>) or the read function to read/write blocks of text: int nsize = 10; char *somedata; ifstream myfile; myfile.open(""&lt;path to file&gt;""); myfile.read(somedata,nsize); myfile.close(); Note that, if you're using Visual Studio 2005 or higher, traditional fstream may not be available (there's a new Microsoft implementation, which is slightly different, but accomplishes the same thing). ",c++
Best implementation for Key Value Pair Data Structure?,"There is an actual Data Type called KeyValuePair, use like this KeyValuePair&lt;string, string&gt; myKeyValuePair = new KeyValuePair&lt;string,string&gt;(""defaultkey"", ""defaultvalue""); ",c#
"Why do I get the error ""Unable to update the password"" when calling AzMan?","For AzMan with ASP.NET, turn on impersonation in web.config (&lt;identity impersonate=""true"" username=""xx"" pasword=""xx"" /&gt;), and make sure with an AD administrator that the impersonation account has ""reader"" permissions on the AzMan store; plus, give write permissions to this account on the Temporary ASP.NET Files folder (under C:\Windows\Microsoft.NET\&lt;framework&gt;). ",c#
Any good advice on using emacs for C++ project?,"No specific article, really, but I've found EmacsWiki to be full of useful information. Consider checking out these entries: CPlusPlus as a starting point for many C++-related articles, and CppTemplate to define a template that can give you a good skeleton when you start new files ",c++
What are the proper permissions for an upload folder with PHP/Apache?,Or at least 766. read = 4 write = 2 execute = 1 7 = read + write + execute 6 = read + write first number: owner second number: group third number: other users ,php
How should I unit test a code-generator?,"I started writing up a summary of my experience with my own code generator, then went back and re-read your question and found you had already touched upon the same issues yourself, focus on the execution results instead of the code layout/look. Problem is, this is hard to test, the generated code might not be suited to actually run in the environment of the unit test system, and how do you encode the expected results? I've found that you need to break down the code generator into smaller pieces and unit test those. Unit testing a full code generator is more like integration testing than unit testing if you ask me. ",c++
How should I unit test a code-generator?,"I started writing up a summary of my experience with my own code generator, then went back and re-read your question and found you had already touched upon the same issues yourself, focus on the execution results instead of the code layout/look. Problem is, this is hard to test, the generated code might not be suited to actually run in the environment of the unit test system, and how do you encode the expected results? I've found that you need to break down the code generator into smaller pieces and unit test those. Unit testing a full code generator is more like integration testing than unit testing if you ask me. ",python
How can I determine the IP of my router/gateway in Java?,"That is not as easy as it sounds.  Java is platform independent, so I am not sure how to do it in Java.  I am guessing that .NET contacts some web site which reports it back.  There are a couple ways to go.  First, a deeper look into the ICMP protocol may give you the information you need.  You can also trace the IP you go through (your route).  When you encounter an IP that is not in the following ranges: 10.0.0.0 â 10.255.255.255 172.16.0.0 â 172.31.255.255 192.168.0.0 â 192.168.255.255 it is the IP one hop away from yours, and probably shares a few octets of information with your IP. Best of luck.  I'll be curious to hear a definitive answer to this question. ",java
How to setup site-wide variables in php?,"Most PHP sites should have a file (I call it a header) that you include on every single page of the site. If you put that first line of code in the header file, then include it like this on every page:  include 'header.php'; you won't have to use the global keyword or anything, the second line of code you wrote should work. Edit: Oh sorry, that won't work inside functions... now I see your problem. Edit #2: Ok, take my original advice with the header, but use a define() rather than a variable. Those work inside functions after being included. ",php
"What do ref, val and out mean on method parameters?","out means that the parameter will be initialised by the method: int result; //not initialised if( int.TryParse( ""123"", out result ) )    //result is now 123 else    //if TryParse failed result has still be     // initialised to its default value (0) ref will force the underlying reference to be passed: void ChangeMyClass1( MyClass input ) {    input.MyProperty = ""changed by 1"";    input = null;    //can't see input anymore ...     // I've only nulled my local scope's reference } void ChangeMyClass2( ref MyClass input ) {    input.MyProperty = ""changed by 2"";    input = null;    //the passed reference is now null too. } MyClass tester = new MyClass { MyProperty = ""initial value"" }; ChangeMyClass1( tester ); // now tester.MyProperty is ""changed by 1"" ChangeMyClass2( ref tester ); // now tester is null ",c#
Speed difference in using inline strings vs concatenation in php5?,"Well, as with all ""What might be faster in real life"" questions, you can't beat a real life test. function timeFunc($function, $runs) {   $times = array();   for ($i = 0; $i &lt; $runs; $i++)   {     $time = microtime();     call_user_func($function);     $times[$i] = microtime() - $time;   }   return array_sum($times) / $runs; } function Method1() {    $foo = 'some words';   for ($i = 0; $i &lt; 10000; $i++)     $t = ""these are $foo""; } function Method2() {   $foo = 'some words';   for ($i = 0; $i &lt; 10000; $i++)     $t = ""these are {$foo}""; } function Method3()  {   $foo = 'some words';   for ($i = 0; $i &lt; 10000; $i++)     $t = ""these are "" . $foo; } print timeFunc('Method1', 10) . ""\n""; print timeFunc('Method2', 10) . ""\n""; print timeFunc('Method3', 10) . ""\n""; Give it a few runs to page everything in, then... 0.0035568 0.0035388 0.0025394 So, as expected, the interpolation are virtually identical (noise level differences, probably due to the extra characters the interpolation engine needs to handle). Straight up concatenation is about 66% of the speed, which is no great shock. The interpolation parser will look, find nothing to do, then finish with a simple internal string concat. Even if the concat were expensive, the interpolator will still have to do it, after all the work to parse out the variable and trim/copy up the original string. Updates By Somnath: I added Method4() to above real time logic. function Method4()  {   $foo = 'some words';   for ($i = 0; $i &lt; 10000; $i++)     $t = 'these are ' . $foo; } print timeFunc('Method4', 10) . ""\n""; Results were: 0.0014739 0.0015574 0.0011955 0.001169 When you are just declaring a string only and no need to parse that string too, then why to confuse PHP debugger to parse. I hope you got my point. ",php
How do you create a debug only function that takes a variable argument list? Like printf(),"What platforms are they not available on? stdarg is part of the standard library: http://www.opengroup.org/onlinepubs/009695399/basedefs/stdarg.h.html Any platform not providing it is not a standard C implementation (or very, very old). For those, you will have to use varargs: http://opengroup.org/onlinepubs/007908775/xsh/varargs.h.html ",c++
How do you begin designing a large system?,"Before you start coding, plan out your database schema - everything else will flow from that. Getting the database reasonably correct early on will save you time and headaches later. ",java
How do I convert a string to an enum in C#?,"You're looking for Enum.Parse. SomeEnum enum = (SomeEnum)Enum.Parse(typeof(SomeEnum), ""EnumValue""); ",c#
What's the best way to get started with OSGI?,"I really like the Apache Felix tutorials. However, I think in general leveraging OSGi in your application isn't one of those ""let's use this framework, because it's hype"" decision. It's more of a design question, but then everything that OSGi gives you in terms of design, you can have with vanilla Java as well. As for the runtime, you cannot just add an existing application and make it OSGi enabled. It needs to be design to be dynamic. Spring DM makes it easy to hide that from you, but it's still there and you need to be aware of it. ",java
How do I generate a hashcode from a byte array in C#?,"If you are looking for performance, I tested a few hash keys, and  I recommend Bob Jenkin's hash function. It is both crazy fast to compute and will give as few collisions as the cryptographic hash you used until now. I don't know C# at all, and I don't know if it can link with C, but here is its implementation in C. ",c#
How do you deal with transport-level errors in SqlConnection?,You should also check hardware connectivity to the database. Perhaps this thread will be helpful: http://channel9.msdn.com/forums/TechOff/234271-Conenction-forcibly-closed-SQL-2005/ ,c#
"Can you set, or where is, the local document root?","It depends on what browser you use, but Internet Explorer, for example, would take you to the root directory of your harddrive (eg. C:/), while browsers such as Firefox does nothing.  ",html
Best way to keep an ordered list of windows (from most-recently created to oldest)?,"I don't really know javascript, but couldn't you create a stack of windows? ",javascript
Executing JavaScript from Flex: Is this javascript function dangerous?,"As far as I know, and I'm definately not a hacker, you are completely fine. Really, if someone wanted to, they could exploit your code anyway clientside, but i don't see how they could exploit your server side code using javascript (unless you use server side javascript) ",javascript
Am I missing something about LINQ?,"The point is that LINQ integrates your queries into your primary programming language, allowing your IDE to provide you with some facilities (Intellisense and debug support, for example) that you otherwise would not have, and to allow the compiler to type-check your SQL code (which is impossible with a normal string query). ",c#
Configure a Java Socket to fail-fast on disconnect?,Set a short timeout? Does isOutputShutdown() not get you what you want? You could always build a SocketWatcher class that spins up in its own Thread and repeatedly tries to write empty strings to the Socket until that raises a SocketClosedException. ,java
How Does One Sum Dimensions of an Array Specified at Run-Time?,"Actually, by colllapsing the colums you already summed them, so the dimension doesn't matter at all for your example. Did I miss something or did you? ",c++
"When do you use the ""this"" keyword?","I use it every time I refer to an instance variable, even if I don't need to. I think it makes the code more clear. ",c#
What Javascript rich text editor will not break the browser's spellcheck?,"I know at least yahoo!'s Rich Text Editor will let you use the included spell checker in FireFox. I also tested FCKeditor, but that requires the users to install additional plugins on their computer. ",javascript
Best method to get objects from a BlockingQueue in a concurrent program?,"class Producer implements Runnable {    private final BlockingQueue queue;    Producer(BlockingQueue q) { queue = q; }    public void run() {      try {        while (true) { queue.put(produce()); }      } catch (InterruptedException ex) { ... handle ...}    }    Object produce() { ... }  }  class Consumer implements Runnable {    private final BlockingQueue queue;    Consumer(BlockingQueue q) { queue = q; }    public void run() {      try {        while (true) { consume(queue.take()); }      } catch (InterruptedException ex) { ... handle ...}    }    void consume(Object x) { ... }  }  class Setup {    void main() {      BlockingQueue q = new SomeQueueImplementation();      Producer p = new Producer(q);      Consumer c1 = new Consumer(q);      Consumer c2 = new Consumer(q);      new Thread(p).start();      new Thread(c1).start();      new Thread(c2).start();    }  } This example was taken from the JDK 1.6 docs of BlockingQueue. So You can see that you are doing it the right way. Here's the quote which tells you that it have to work:   Memory consistency effects: As with   other concurrent collections, actions   in a thread prior to placing an object   into a BlockingQueue happen-before   actions subsequent to the access or   removal of that element from the   BlockingQueue in another thread. ",java
C#.NET Winforms: Is it possible to override Label.Autosize?,"Your problem could be that you're not actually overriding Autosize in your code (ie, in the same way that you're overriding Font or ForeColor). ",c#
Best Method to run a Java Application as a *nix Daemon or Windows Service?,"Are there any special attributes that you need to apply (like OS guided resource management) that you need to support? Otherwise, for Unix you should be able to daemonize your application by writing an appropriate init.d script and setting your app to start automatically. ",java
What is the best free memory leak detector for a C/C++ program and its plug-in DLLs?,I have had good experiences with Rational Purify. I have also heard nice things about Valgrind</a&lt;. ,c++
sizeof() equivalent for reference types?,"You need Marshal.SizeOf Edit: This is for unsafe code, but then, so is sizeof(). ",c#
Why aren't Enumerations Iterable?,"Enumeration hasn't been modified to support Iterable because it's an interface not a concrete class (like Vector, which was modifed to support the Collections interface). If Enumeration was changed to support Iterable it would break a bunch of people's code. ",java
How to add (simple) tracing in C#?,Don't know if this link will help you? http://www.codeguru.com/csharp/.net/net_debugging/tracing/article.php/c5919/ ,c#
How bad is dynamic casting?,"My current toy project uses dynamic_cast twice; once to work around the lack of multiple dispatch in C++ (it's a visitor-style system that could use multiple dispatch instead of the dynamic_casts), and once to special-case a specific subtype. Both of these are acceptable, in my view, though the former at least stems from a language deficit.  I think this may be a common situation, in fact; most dynamic_casts (and a great many ""design patterns"" in general) are workarounds for specific language flaws rather than something that aim for. ",c++
How should I test a method that populates a list from a DataReader?,"You can put the Foo instances in a list and compare the objects with what you read:   var arrFoos = new Foos[]{...}; // what you expect var expectedFoos = new List&lt;Foo&gt;(arrFoos); // make a list from the hardcoded array of expected Foos var readerResult = ReadEntireList(reader); // read everything from reader and put in List&lt;Foo&gt; Expect.ContainSameFoos(expectedFoos, readerResult); // compare the two lists ",c#
How to know if a line intersects a plane in C#? - Basic 2D geometry,Do http://mathworld.wolfram.com/Line-LineIntersection.html for the line and each side of the rectangle. Or: http://mathworld.wolfram.com/Line-PlaneIntersection.html ,c#
Is there a Java Console/Editor similar to the GroovyConsole?,DrJava is your best bet. It also has an Eclipse plugin to use the interactions pane like GroovyConsole. ,java
What does this javascript error mean? Permission denied to call method to Location.toString,"Are you using javascript to communicate between frames/iframes which point to different domains? This is not permitted by the JS ""same origin/domain"" security policy. Ie, if you have &lt;iframe name=""foo"" src=""foo.com/script.js""&gt; &lt;iframe name=""bar"" src=""bar.com/script.js""&gt; And the script on bar.com tries to access window[""foo""].Location.toString, you will get this (or similar) exceptions. Please also note that the same origin policy can also kick in if you have content from different subdomains. Here you can find a short and to the point explanation of it with examples. ",javascript
"How do threads work in Python, and what are common Python-threading specific pitfalls?","Below is a basic threading sample. It will spawn 20 threads; each thread will output its thread number. Run it and observe the order in which they print. import threading class Foo (threading.Thread):     def __init__(self,x):         self.__x = x         threading.Thread.__init__(self)     def run (self):           print str(self.__x) for x in xrange(20):     Foo(x).start() As you have hinted at Python threads are implemented through time-slicing. This is how they get the ""parallel"" effect.  In my example my Foo class extends thread, I then implement the run method, which is where the code that you would like to run in a thread goes. To start the thread you call start() on the thread object, which will automatically invoke the run method... Of course, this is just the very basics. You will eventually want to learn about semaphores, mutexes, and locks for thread synchronization and message passing. ",python
Is there a reason to use BufferedReader over InputStreamReader when reading all characters?,"You are correct, if you use BufferedReader for reading HTTP content and headers you will want InputStreamReader so you can read byte for byte.  BufferedReader in this scenario sometimes does weird things...escpecially when it comes to reading HTTP POST headers, sometimes you will be unable to read the POST data, if you use the InputStreamReader you can read the content length and read that many bytes... ",java
"Alternative ""architectural"" approaches to javaScript client code?","..but Javascript has many facets that are OO. Consider this: var Vehicle = jQuery.Class.create({     init: function(name) { this.name = name; }  }); var Car = Vehicle.extend({     fillGas: function(){        this.gas = 100;     }  }); I've used this technique to create page-level javascript classes that have their own state, this helps keep it contained (and I often identify areas that I can reuse and put into other classes). This is also especially useful when you have components/server controls that have their own script to execute, but when you might have multiple instances on the same page.  This keeps the state separate. ",javascript
How to make 'pretty urls' work in php hosted in IIS?,This is how I did it with WordPress on IIS 6.0 http://www.coderjournal.com/2008/02/url-rewriter-reverse-proxy-iis-wordpress/ However it all depends on what version of IIS you are using.  If you are lucky enough to use IIS 7.0 you don't really have to worry about pretty urls because everything is supported out of the box.  However if you are using IIS 6.0 you are going to have to use a rewriter and some rules to force the IISness out of IIS. ,php
How can I take a byte array of a TIFF image and turn it into a System.Drawing.Image object?,"Edit: The assumption below is not correct, I had a chance to fire up my IDE later and tested with and without Write and both populated the MemoryStream correctly. I think you need to write to your MemeoryStream first. As if my memory (no pun intended) serves me correctly this: MemoryStream ms = new MemoryStream(byteArrayIn); Creates a memory stream of that size. You then need to write your byte array contents to the memory stream: ms.Write(byteArrayIn, 0, byteArrayIn.Length); See if that fixes it. ",c#
How to pass method name to custom server control in asp.net?,"Your workaround is actually the better answer.  If you have code that you must run at a certain part of your control's lifecycle, you should expose events to let the container extend the lifecycle with custom functionality. ",c#
Is it possible to call Javascript's onsubmit event programatically on a form?,"give your form an id. then document.getElementById('formid').submit(); If you are loading Javascript into a div via innerHTML, it won't run...just FYI. ",javascript
How do you get the ethernet address using Java?,"You can get the address that connects to your ServerSocket using http://java.sun.com/javase/6/docs/api/java/net/NetworkInterface.html#getInetAddresses() However if your client is connecting via a NAT, then you will get the address of the router and NOT the Ethernet address. If it is on your local network (via a hub/switch, no router with NAT) the it wil work as intended. ",java
Are Python threads buggy?,"I've used it in several applications and have never had nor heard of threading being anything other than 100% reliable, as long as you know its limits.  You can't spawn 1000 threads at the same time and expect your program to run properly on Windows, however you can easily write a worker pool and just feed it 1000 operations, and keep everything nice and under control. ",python
What is the best quick-read Python book out there?,"I expect that Learning Python is useful, and quick to read. ",python
Are there static analysis tools for Python?,"There's pylint pychecker pyflakes And probably others, too. ",python
How to find out if a file exists in C# / .NET?,Use: File.Exists(path) MSDN: http://msdn.microsoft.com/en-us/library/system.io.file.exists.aspx Edit: In System.IO ,c#
javascript locals()?,"Well, I don't think that there is something like that in js. You can always use eval instead of locals(). Like this:  eval(s+""()""); You just have to know that actually function foo exists. Edit: Don't use eval:) Use: var functionName=""myFunctionName""; window[functionName](); ",javascript
javascript locals()?,"Well, I don't think that there is something like that in js. You can always use eval instead of locals(). Like this:  eval(s+""()""); You just have to know that actually function foo exists. Edit: Don't use eval:) Use: var functionName=""myFunctionName""; window[functionName](); ",python
Is overloading the only way to have default function arguments in C#?,"Yes, that'd be best, except you'd omit the $s on the parameter names, as others have pointed out. For those interested in the rationale behind the lack of default parameter values, see @Giovanni Galbo's explanation. ",c#
"Is Java ""pass-by-reference"" or ""pass-by-value""?","Java is always pass by value, with no exceptions, ever. So how is it that anyone can be at all confused by this, and believe that Java is pass by reference, or think they have an example of Java acting as pass by reference? The key point is that Java never provides direct access to the values of objects themselves, in any circumstances. The only access to objects is through a reference to that object. Because Java objects are always accessed through a reference, rather than directly, it is common to talk about fields and variables and method arguments as being objects, when pedantically they are only references to objects. The confusion stems from this (strictly speaking, incorrect) change in nomenclature. So, when calling a method For primitive arguments (int, long, etc.), the pass by value is the actual value of the primitive (for example, 3). For objects, the pass by value is the value of the reference to the object. So if you have doSomething(foo) and public void doSomething(Foo foo) { .. } the two Foos have copied references that point to the same objects. Naturally, passing by value a reference to an object looks very much like (and is indistinguishable in practice from) passing an object by reference. ",java
How do you give a C# Auto-Property a default value?,Have you tried using the DefaultValueAttribute or ShouldSerialize and Reset methods in conjunction with the constructor?  I feel like one of these two methods is necessary if you're making a class that might show up on the designer surface or in a property grid. ,c#
How to wrap a function with variable length arguments?,How do you mean a pure C/C++ solution? The rest parameter (...) is supported cross platform in the C runtime. http://msdn.microsoft.com/en-us/library/kb57fad8.aspx ,c++
How do you properly use namespaces in C++?,"Namespaces are packages essentially. They can be used like this: namespace MyNamespace {   class MyClass   {   }; } Then in code: MyNamespace::MyClass* pClass = new MyNamespace::MyClass(); Hope that helps. Or, if you want to always use a specific namespace, you can do this: using namespace MyNamespace; MyClass* pClass = new MyClass(); Edit: Following what bernhardrusch has said, I tend not to use the ""using namespace x"" syntax at all, I usually explicitly specify the namespace when instantiating my objects (i.e. the first example I showed). And as you asked below, you can use as many namespaces as you like. ",c++
How can I unit test a Windows Service?,"I would start here.  It shows how to start and stop services in C# A sample to start is is public static void StartService(string serviceName, int timeoutMilliseconds) {   ServiceController service = new ServiceController(serviceName);   try   {     TimeSpan timeout = TimeSpan.FromMilliseconds(timeoutMilliseconds);     service.Start();     service.WaitForStatus(ServiceControllerStatus.Running, timeout);   }   catch   {     // ...   } } I have also tested services mostly through console app, simulating what the service would do.  That way my unit test is completely automated. ",c#
Is there a standard HTML layout with multiple CSS styles available?,"Check out the Grids framework from YUI. Particularly awesome is the Grid Builder. Also, they have a set of reset, base, and font CSS files that will give you a good baseline to build on. ",html
Is there a built-in method to compare collections in C#?,"No, because the framework doesn't know how to compare the contents of your lists. Have a look at this: http://blogs.msdn.com/abhinaba/archive/2005/10/11/479537.aspx ",c#
How to find the mime type of a file in python?,"The mimetypes module in the standard library will determine/guess the MIME type from a file extension. If users are uploading files the HTTP post will contain the MIME type of the file alongside the data.  For example, Django makes this data available as an attribute of the UploadedFile object. ",python
How can I programmatically determine if my workstation is locked?,"The solution is to use the OpenDesktop API call. Basically it just attempts to switch the the default desktop which will fail if it's locked. Note1: the following function loads the relevant dlls and functions dynamically so that apps will still run on Windows 9.x :) Note2: DESKTOP&amp; #95;SWITCHDESKTOP should read DESKTOP&#95;SWITCHDESKTOP BOOL Misc::IsWorkStationLocked() {     // note: we can't call OpenInputDesktop directly because it's not     // available on win 9x     typedef HDESK (WINAPI *PFNOPENDESKTOP)(LPSTR lpszDesktop, DWORD dwFlags, BOOL fInherit, ACCESS_MASK dwDesiredAccess);     typedef BOOL (WINAPI *PFNCLOSEDESKTOP)(HDESK hDesk);     typedef BOOL (WINAPI *PFNSWITCHDESKTOP)(HDESK hDesk);     // load user32.dll once only     static HMODULE hUser32 = LoadLibrary(""user32.dll"");     if (hUser32)     {     	static PFNOPENDESKTOP fnOpenDesktop = (PFNOPENDESKTOP)GetProcAddress(hUser32, ""OpenDesktopA"");     	static PFNCLOSEDESKTOP fnCloseDesktop = (PFNCLOSEDESKTOP)GetProcAddress(hUser32, ""CloseDesktop"");     	static PFNSWITCHDESKTOP fnSwitchDesktop = (PFNSWITCHDESKTOP)GetProcAddress(hUser32, ""SwitchDesktop"");     	if (fnOpenDesktop &amp;&amp; fnCloseDesktop &amp;&amp; fnSwitchDesktop)     	{     		HDESK hDesk = fnOpenDesktop(""Default"", 0, FALSE, DESKTOP_SWITCHDESKTOP);     		if (hDesk)     		{     			BOOL bLocked = !fnSwitchDesktop(hDesk);     			// cleanup     			fnCloseDesktop(hDesk);     			return bLocked;     		}     	}     }     // must be win9x     return FALSE; } ",c#
How to know whether a window with a given title is already open in Tk?,"I believe you want: if 'normal' != root.state():     tkMessageBox.showinfo(""Key you!"", "" "".join(sys.argv[1:])) ",python
How do I group in memory lists?,"var q = from x in list         group x by x.Bar into g         select g; foreach (var group in q) {     Console.WriteLine(""Group "" + group.Key);     foreach (var item in group)     {         Console.WriteLine(item.Bar);     } } ",c#
Is there a way to parse a dependency tree from a build script output?,"Static libraries, that makes life more difficult in this regard. In case of dynamic libraries you could just have used ldd on the resulting executable and be done with it. The best bet would be some kind of configuration file. Alternatively you could try to look for -l arguments to gcc/ld. Those are used to specify libraries. You could write a script for extracting it from the output, though I suspect that you will have to do it manually because by the time you know what the script should look for you probably already know the answer. ",c++
What are the most useful (custom) code snippets for C#?,prop and exception are my favorites. ,c#
"In HTML, what should happen to a selected, disabled option element?","I do not think disabled is a standard attribute for the option element. Typically you disable the entire select menu, which is a cross-browser solution. If an element is not selectable, then it should not appear in the select menu. Edit: Wow, I was sure off on that one. I suppose it does pay to check the spec on occasion. ",html
Is there a way to generalize an Apache ANT target?,"It is generally considered a bad idea to version control your binaries and I do not recommend doing so. But if you absolutely have to, you can use antcall combined with param to pass parameters and call a target. &lt;antcall target=""reusable""&gt;     &lt;param name=""some.variable"" value=""var1""/&gt; &lt;/antcall&gt; &lt;target name=""reusable""&gt;     &lt;!-- Do something with ${some.variable} --&gt; &lt;/target&gt; You can find more information about the antcall task here. ",java
Can I prevent user pasting Javascript into Design Mode IFrame?,"As Jason said, I would focus more on cleaning the data on the server side. You don't really have any real control on the client side unless you're using Silverlight / Flex and even then you'd need to check the server. That said, Here are some tips from ""A List Apart"" you may find helpful regarding server side data cleaning. http://www.alistapart.com/articles/secureyourcode ",javascript
What is the simplest way to find the difference between 2 times in python?,"It seems that this isn't supported, since there wouldn't be a good way to deal with overflows in datetime.time.  I know this isn't an answer directly, but maybe someone with more python experience than me can take this a little further.  For more info, see this: http://bugs.python.org/issue3250 ",python
Get MIME type of a local file in PHP5 without a PECL extension?,"If you can't use the fileinfo extension, and you don't want to use mime_content_type, your options are limited. Most likely you'll need to do a lookup based on the file extension.  mime_content_type did something a bit more intelligent and actually looked for special data in the file to determine the mime type. ",php
